2024/04/19 13:49:13 1713502153.280    231 192.168.0.101 TCP_TUNNEL/200 1046 CONNECT connectivitycheck.gstatic.com:443 - HIER_DIRECT/2404:6800:4004:810::2003 -
2024/04/19 13:49:17 1713502157.056  10120 192.168.0.101 TCP_TUNNEL/200 6155 CONNECT static.nortoncdn.com:443 - HIER_DIRECT/23.217.180.35 -
2024/04/19 13:49:18 1713502158.575      1 192.168.0.101 TCP_DENIED/403 3833 CONNECT bat.bing.com:443 - HIER_NONE/- text/html
2024/04/19 13:49:21 1713502161.800      1 192.168.0.101 TCP_DENIED/403 3887 CONNECT play-lh.googleusercontent.com:443 - HIER_NONE/- text/html
2024/04/19 13:49:21 1713502161.807      2 192.168.0.101 TCP_DENIED/403 3887 CONNECT play-lh.googleusercontent.com:443 - HIER_NONE/- text/html
2024/04/19 13:49:21 1713502161.996      2 192.168.0.101 TCP_DENIED/403 3887 CONNECT play-lh.googleusercontent.com:443 - HIER_NONE/- text/html
2024/04/19 13:49:21 1713502161.999      2 192.168.0.101 TCP_DENIED/403 3887 CONNECT play-lh.googleusercontent.com:443 - HIER_NONE/- text/html
2024/04/19 13:49:22 1713502162.001      2 192.168.0.101 TCP_DENIED/403 3887 CONNECT play-lh.googleusercontent.com:443 - HIER_NONE/- text/html
2024/04/19 13:49:22 1713502162.003      2 192.168.0.101 TCP_DENIED/403 3887 CONNECT play-lh.googleusercontent.com:443 - HIER_NONE/- text/html
2024/04/19 13:49:24 1713502164.618   1338 192.168.0.101 TCP_TUNNEL/200 1946183 CONNECT rr2---sn-vjoouujvhh-nqwl.gvt1.com:443 - HIER_DIRECT/2001:380:0:1101::d -
2024/04/19 13:49:36 1713502176.592      1 192.168.0.101 TCP_DENIED/403 3815 CONNECT ssl.google-analytics.com:443 - HIER_NONE/- text/html
2024/04/19 13:49:37 1713502177.838  45818 192.168.0.101 TCP_TUNNEL/200 9620 CONNECT my.norton.com:443 - HIER_DIRECT/40.118.234.43 -
2024/04/19 13:49:38 1713502178.623  46312 192.168.0.101 TCP_TUNNEL/200 170571 CONNECT webapps.norton.com:443 - HIER_DIRECT/40.78.18.193 -
2024/04/19 13:49:40 1713502180.109  15067 192.168.0.101 TCP_TUNNEL/200 25127916 CONNECT rr2---sn-vjoouujvhh-nqwl.gvt1.com:443 - HIER_DIRECT/2001:380:0:1101::d -
2024/04/19 13:49:40 1713502180.160  46168 192.168.0.101 TCP_TUNNEL/200 14046 CONNECT webapps.norton.com:443 - HIER_DIRECT/40.78.18.193 -
2024/04/19 13:49:45 1713502185.964   5280 192.168.0.101 TCP_TUNNEL/200 332797 CONNECT rr2---sn-vjoouujvhh-nqwe.gvt1.com:443 - HIER_DIRECT/2001:380:0:1100::d -
2024/04/19 13:49:52 1713502192.976   6670 192.168.0.101 TCP_TUNNEL/200 12145092 CONNECT rr1---sn-vjoouujvhh-nqwe.gvt1.com:443 - HIER_DIRECT/2001:380:0:1100::c -
2024/04/19 13:49:53 1713502193.724    267 192.168.0.101 TCP_TUNNEL/200 112140 CONNECT rr1---sn-vjoouujvhh-nqwl.gvt1.com:443 - HIER_DIRECT/2001:380:0:1101::c -
2024/04/19 13:50:05 1713502205.678      2 192.168.0.101 TCP_DENIED/403 3806 CONNECT api.sec.intl.miui.com:443 - HIER_NONE/- text/html
2024/04/19 13:50:05 1713502205.769      1 192.168.0.101 TCP_DENIED/403 3815 CONNECT authbe.sec.intl.miui.com:443 - HIER_NONE/- text/html
2024/04/19 13:50:05 1713502205.875      1 192.168.0.101 TCP_DENIED/403 3842 CONNECT firebase-settings.crashlytics.com:443 - HIER_NONE/- text/html
2024/04/19 13:50:06 1713502206.195      1 192.168.0.101 TCP_DENIED/403 3733 CONNECT api.ad.intl.xiaomi.com:443 - HIER_NONE/- text/html
2024/04/19 13:50:06 1713502206.196      1 192.168.0.101 TCP_DENIED/403 3733 CONNECT api.ad.intl.xiaomi.com:443 - HIER_NONE/- text/html
2024/04/19 13:50:06 1713502206.296      1 192.168.0.101 TCP_DENIED/403 3733 CONNECT api.ad.intl.xiaomi.com:443 - HIER_NONE/- text/html
2024/04/19 13:50:06 1713502206.297      1 192.168.0.101 TCP_DENIED/403 3733 CONNECT api.ad.intl.xiaomi.com:443 - HIER_NONE/- text/html
2024/04/19 13:50:06 1713502206.299      1 192.168.0.101 TCP_DENIED/403 3733 CONNECT api.ad.intl.xiaomi.com:443 - HIER_NONE/- text/html
2024/04/19 13:50:06 1713502206.411      0 192.168.0.101 NONE/000 0 NONE error:transaction-end-before-headers - HIER_NONE/- -
2024/04/19 13:50:06 1713502206.432      1 192.168.0.101 TCP_DENIED/403 3815 CONNECT authbe.sec.intl.miui.com:443 - HIER_NONE/- text/html
2024/04/19 13:50:11 1713502211.384  79363 192.168.0.101 TCP_TUNNEL/200 7201 CONNECT clientservices.googleapis.com:443 - HIER_DIRECT/2404:6800:4004:81e::2003 -
2024/04/19 13:50:11 1713502211.384  20783 192.168.0.101 TCP_TUNNEL/200 7856 CONNECT update.googleapis.com:443 - HIER_DIRECT/2404:6800:4004:801::2003 -
